Qel	Qelflex	Qelabwteil	Qelabw	Qww	Pers	Queber	Solltemperatur Decke	Solltemperatur Decke	
kW/HH	kW/HH	kW/HH	kW/HH	l/HH	Pers/HH	Freigabe	Celsium	Celsium	
0.122670084	0	0	0.122670084	0	0	1	22	22	24.75
0.091225752	0	0	0.091225752	0	0	1	22	22	25
0.034362584	0	0	0.034362584	0	2	1	22	22	25.25
0.051674536	0	0	0.051674536	0	2	1	22	22	25.5
0.035054544	0	0	0.035054544	0	2	1	22	22	25.75
0.052134396	0	0	0.052134396	0	2	1	22	22	26
0.035359112	0	0	0.035359112	0	2	1	22	22	26.25
0.051598984	0	0	0.051598984	0	2	1	22	22	26.5
0.034068212	0	0	0.034068212	0	2	1	22	22	26.75
0.0840658	0	0	0.0840658	0	2	1	22	22	27
0.139722584	0	0	0.139722584	0	2	1	22	22	27.25
2.098405316	0	0	2.098405316	0	2	1	22	22	27.5
0.1531711	0	0	0.1531711	0	2	1	22	22	27.75
0.070235392	0	0	0.070235392	0	2	1	22	22	28
0.058462816	0	0	0.058462816	60	0	1	22	22	28.25
0.406448884	0	0	0.406448884	20	0	1	22	22	28.5
0.06839326	0	0	0.06839326	0	0	1	22	22	28.75
0.060692008	0	0	0.060692008	0	0	1	22	22	29
0.034861104	0	0	0.034861104	0	0	1	22	22	29.25
0.414605088	0	0	0.414605088	10	0	1	22	22	29.5
0.137228096	0	0	0.137228096	20	0	1	22	22	29.75
0.11808126	0	0	0.11808126	20	0	1	22	22	30
0.327846104	0	0	0.327846104	0	2	0	22	22	30.25
0.3463288	0	0	0.3463288	0	2	0	22	22	30.5
0.344999648	0	0	0.344999648	0	2	0	22	22	30.75
0.32599166	0	0	0.32599166	0	2	0	22	22	31
0.382986452	0	0	0.382986452	0	0	0	22	22	31.25
0.968683892	0	0	0.968683892	20	0	0	22	22	31.5
0.767005184	0	0	0.767005184	20	0	0	22	22	31.75
0.109419872	0	0	0.109419872	0	0	0	22	22	32
0.124858068	0	0	0.124858068	0	2	0	22.5	22	32.25
0.124900136	0	0	0.124900136	0	2	0	23	22	32.5
0.268381732	0	0	0.268381732	0	2	0	23.5	22	32.75
0.250168164	0	0	0.250168164	0	2	0	24	22	33
0.28989636	0	0	0.28989636	0	2	0	24.5	22	33.25
0.92391452	0	0	0.92391452	0	2	0	25	22	33.5
1.356430336	0	0	1.356430336	0	2	0	25.5	22	33.75
0.094921524	0	0	0.094921524	0	2	0	26	22	34
0.085594564	0	0	0.085594564	0	2	0	26.5	22	34.25
0.234617728	0	0	0.234617728	0	2	0	27	22	34.5
0.192664328	0	0	0.192664328	0	2	0	27.5	22	34.75
0.320817368	0	0	0.320817368	0	2	0	28	22	35
0.325075464	0	0	0.325075464	0	2	0	28.5	22	35.25
0.33718964	0	0	0.33718964	0	2	0	29	22	35.5
0.449621536	0	0	0.449621536	0	2	0	29.5	22	35.75
0.456916648	0	0	0.456916648	0	2	0	30	22	36
0.806994764	0	0	0.806994764	0	0	0	30.5	22	36.25
0.070730112	0	0	0.070730112	0	0	0	31	22	36.5
0.051867688	0	0	0.051867688	0	0	0	31.5	22	36.75
0.145627176	0	0	0.145627176	0	0	0	32	22	37
0.120172232	0	0	0.120172232	0	2	0	32.5	22	37.25
0.057396324	0	0	0.057396324	0	2	0	33	22	37.5
0.035521692	0	0	0.035521692	0	2	0	33.5	22	37.75
0.045187932	0	0	0.045187932	0	2	0	34	22	38
0.046574404	0	0	0.046574404	0	2	0	34	22	38.25
0.03499564	0	0	0.03499564	0	2	0	34	22	38.5
0.057222636	0	0	0.057222636	0	2	0	34	22	38.75
0.034903692	0	0	0.034903692	0	2	0	34	22	39
0.056929816	0	0	0.056929816	20	2	0	34	22	39.25
0.148431336	0	0	0.148431336	0	2	0	34	22	39.5
0.149645496	0	0	0.149645496	0	2	0	34	22	39.75
0.377970384	0	0	0.377970384	20	2	0	34	22	40
0.083825024	0	0	0.083825024	10	0	0	33.5	22	40.25
0.066008236	0	0	0.066008236	10	0	0	33	22	40.5
0.111751252	0	0	0.111751252	0	0	0	32.5	22	40.75
0.07475222	0	0	0.07475222	60	0	0	32	22	41
1.681259868	1.294381348	1.294381348	1.034069194	10	0	0	31.5	22	41.25
0.6404206	0.477783472	0.477783472	0.401528864	20	0	0	31	22	41.5
0.307891824	0.101561424	0.101561424	0.257111112	0	0	0	30.5	22	41.75
1.553023368	0.078230444	0.078230444	1.513908146	0	0	0	30	22	42
0.620389772	0	0	0.620389772	0	2	0	29.5	22	42.25
0.056728052	0	0	0.056728052	0	2	0	29	22	42.5
0.300754268	0.266269984	0.007439696	0.29703442	0	2	0	28.5	22	42.75
3.16208718	2.907772328	1.888905752	2.217634304	20	2	0	28	22	43
2.049983056	1.707852584	0.861380176	1.619292968	0	0	0	27.5	22	43.25
1.347999288	1.010927512	0.141110448	1.277444064	0	0	0	27	22	43.5
1.457898788	1.1655121	0.399168848	1.258314364	0	0	0	26.5	22	43.75
1.477817636	0.1160959	0.1160959	1.419769686	0	0	0	26	22	44
2.780393668	0.00163696	0.00163696	2.779575188	0	2	0	25.5	22	44.25
1.91893196	0	0	1.91893196	20	2	0	25	22	44.5
0.040914604	0	0	0.040914604	0	2	0	24.5	22	44.75
0.091417992	0	0	0.091417992	0	2	0	24	22	45
0.15891802	0	0	0.15891802	0	2	0	23.5	22	45.25
0.254660664	0	0	0.254660664	0	2	0	23	22	45.5
0.28875864	0	0	0.28875864	0	2	0	22.5	22	45.75
0.434495516	0	0	0.434495516	0	2	0	22	22	46
0.78649472	0.605215024	0	0.78649472	20	2	0	22	22	46.25
2.521015676	0.992103236	0	2.521015676	0	2	0	22	22	46.5
1.447114896	0.842364224	0	1.447114896	0	2	0	22	22	46.75
1.189728836	0.789320096	0	1.189728836	0	2	0	22	22	47
0.648264904	0.318479524	0	0.648264904	0	2	0	22	22	47.25
0.347114136	0	0	0.347114136	0	2	0	22	22	47.5
0.314699364	0	0	0.314699364	20	2	0	22	22	47.75
0.331359908	0	0	0.331359908	0	2	0	22	22	48
0.098699716	0	0	0.098699716	0	0	0	22	22	48.25
0.050530124	0	0	0.050530124	0	0	0	22	22	48.5
0.058038404	0	0	0.058038404	0	0	0	22	22	48.75
0.14000966	0	0	0.14000966	0	0	0	22	22	49
0.109693944	0	0	0.109693944	0	2	0	22	22	49.25
0.050618	0	0	0.050618	0	2	0	22	22	49.5
0.034616604	0	0	0.034616604	0	2	0	22	22	49.75
0.056802824	0	0	0.056802824	0	2	0	22	22	50
0.03529344	0	0	0.03529344	0	2	0	22	22	50.25
0.05170034	0	0	0.05170034	0	2	0	22	22	50.5
0.035035092	0	0	0.035035092	0	2	0	22	22	50.75
0.05524562	0	0	0.05524562	0	2	0	22	22	51
0.035496684	0	0	0.035496684	0	2	0	22	22	51.25
0.770462304	0	0	0.770462304	0	2	0	22	22	51.5
1.437956552	0	0	1.437956552	0	2	0	22	22	51.75
0.150265512	0	0	0.150265512	0	2	0	22	22	52
0.055260464	0	0	0.055260464	20	0	0	22	22	52.25
0.521824508	0	0	0.521824508	70	0	0	22	22	52.5
0.07189916	0	0	0.07189916	20	0	0	22	22	52.75
0.090766296	0	0	0.090766296	0	0	0	22	22	53
0.174113132	0	0	0.174113132	10	0	0	22	22	53.25
0.279401048	0	0	0.279401048	10	0	0	22	22	53.5
0.068488632	0	0	0.068488632	10	0	0	22	22	53.75
0.19354124	0	0	0.19354124	30	0	0	22	22	54
1.443672164	0	0	1.443672164	0	2	0	22	22	54.25
0.117057088	0	0	0.117057088	0	2	0	22	22	54.5
0.145659868	0	0	0.145659868	0	2	0	22	22	54.75
0.072943064	0	0	0.072943064	0	2	0	22	22	55
0.257459272	0	0	0.257459272	0	0	0	22	22	55.25
0.335960256	0	0	0.335960256	20	0	0	22	22	55.5
0.365289612	0	0	0.365289612	0	0	0	22	22	55.75
0.338392184	0	0	0.338392184	0	0	0	22	22	56
0.350916164	0	0	0.350916164	0	2	0	22.5	22	56.25
0.225188708	0	0	0.225188708	0	2	0	23	22	56.5
0.310756184	0	0	0.310756184	0	2	0	23.5	22	56.75
0.19141766	0	0	0.19141766	0	2	0	24	22	57
0.517064088	0	0	0.517064088	0	2	0	24.5	22	57.25
0.200619792	0	0	0.200619792	20	2	0	25	22	57.5
1.24038698	0	0	1.24038698	0	2	0	25.5	22	57.75
1.201010756	0	0	1.201010756	0	2	0	26	22	58
0.115941592	0	0	0.115941592	0	2	0	26.5	22	58.25
0.096843612	0	0	0.096843612	0	2	0	27	22	58.5
0.587304308	0	0	0.587304308	0	2	0	27.5	22	58.75
1.055509696	0	0	1.055509696	0	2	0	28	22	59
0.094217232	0	0	0.094217232	0	2	0	28.5	22	59.25
0.09181704	0	0	0.09181704	0	2	0	29	22	59.5
0.16740824	0	0	0.16740824	20	2	0	29.5	22	59.75
0.382851264	0	0	0.382851264	0	2	1	30	22	60
0.458250364	0	0	0.458250364	0	0	1	30.5	22	60.25
0.370143484	0	0	0.370143484	0	0	1	31	22	60.5
0.318039208	0	0	0.318039208	0	0	1	31.5	22	60.75
0.286432668	0	0	0.286432668	0	0	1	32	22	61
0.181338256	0	0	0.181338256	0	2	1	32.5	22	61.25
0.034855284	0	0	0.034855284	0	2	1	33	22	61.5
0.05677948	0	0	0.05677948	0	2	1	33.5	22	61.75
0.035170372	0	0	0.035170372	0	2	1	34	22	62
0.05714692	0	0	0.05714692	0	2	1	34	22	62.25
0.083765792	0	0	0.083765792	0	2	1	34	22	62.5
0.147024724	0	0	0.147024724	0	2	1	34	22	62.75
0.074259372	0	0	0.074259372	0	2	1	34	22	63
0.051432156	0	0	0.051432156	0	2	1	34	22	63.25
0.034560052	0	0	0.034560052	0	2	1	34	22	63.5
0.078214208	0	0	0.078214208	20	2	1	34	22	63.75
2.218632944	0	0	2.218632944	70	2	1	34	22	64
0.177348496	0	0	0.177348496	20	0	1	33.5	22	64.25
0.086880948	0	0	0.086880948	0	0	1	33	22	64.5
0.484495056	0	0	0.484495056	30	0	1	32.5	22	64.75
0.266863832	0	0	0.266863832	10	0	1	32	22	65
0.480022608	0	0	0.480022608	10	0	1	31.5	22	65.25
0.114011468	0	0	0.114011468	0	0	1	31	22	65.5
1.703107308	0	0	1.703107308	0	0	1	30.5	22	65.75
0.173762364	0	0	0.173762364	0	0	1	30	22	66
