1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
Nutzung	Qel_MFH_groﬂ	WW_MFH_groﬂ	EW_MFH_groﬂ	WindAPG_2013	WindAPG_2014	WindAPG_2015	Wind_2030_TU	WEB_2013	WEB_2014	WEB_2015	WEB_2016	CO2_Strommix_2015	CO2_Strommix_2050opti	Laufwasser	PV	Wind	Nachfrage	Differenz1	Biomasse_opt	Differenz2	Geothermie_opt	Differenz3	‹berschuss_2050	Unterschuss_2050	Taussen_48Stunden	IGS_48Stunden	IGN_48Stunden	Leistung Klein
Einheit	KW_ges1000000kWh/a	KW_ges1000000kWh/a	100_EW	1.37	2.176	2.549	6.677	0	0	4.53	0	52.4	453.5	9	9.5	4.4	13	10.6	0.3	10.3	2.5	7.8	9.4	7.8	ta                       	igs                      	ign                      	Pklein
Dienstleistung	Lastsyn	WW	Anzahl_Pers	GW	GW	GW	GW	MW	MW	MW	MW	CO2 [g/kWh]	CO2 [g/kWh]	GW	GW	GW	GW	GW	GW	GW	GW	GW	GW	GW	∞C	W/m≤	W/m≤	W
19	187.78	159.84	80	0.0898048	0.2047083	0.0438683	5.181598343	0	0	2.86149	0	33.95717186	307.8721097	4.016174559	0	0.41760483	8.512537766	4.078758377	0.270098507	3.80865987	2.467812283	1.340847587	0	1.340847587	1.7	0	0	0
20	168.89	133.35	80	0.0799168	0.2216818	0.0581318	5.450857569	0	0	2.313549	0	33.73893929	315.0650835	3.555604082	0	0.45223077	8.657068478	4.649233626	0.270098507	4.379135119	2.467812283	1.911322836	0	1.911322836	1.9	0	0	0
21	141.53	106.85	80	0.0900313	0.2506325	0.1102205	4.929851909	0	0	2.206872	0	33.77265469	314.5003749	3.314590261	0	0.5112903	8.548638326	4.722757765	0.270098507	4.452659259	2.467812283	1.984846975	0	1.984846975	2	0	0	0
22	117.13	52.99	80	0.097176	0.1380443	0.1028645	5.53404335	0	0	0.432996	0	34.7677608	314.0728336	3.005520379	0	0.28161027	8.035907596	4.748776947	0.270098507	4.47867844	2.467812283	2.010866157	0	2.010866157	1.7	0	0	0
23	86.74	52.99	80	0.092148	0.0916223	0.0495398	5.960917737	0	0	0.317901	0	34.97994308	309.4376915	2.76840786	0	0.18690939	7.99274109	5.037423839	0.270098507	4.767325333	2.467812283	2.29951305	0	2.29951305	1	0	0	0
24	58.53	26.49	80	0.0816828	0.10301	0.0197728	5.109358063	0	0	0.371775	0	35.60866688	316.8714616	2.591657166	0	0.2101404	7.533840019	4.732042453	0.270098507	4.461943946	2.467812283	1.994131663	0	1.994131663	0.65	0	0	0
25	43.29	26.49	80	0.0725418	0.1058495	0.0143683	5.477126763	0	0	0.283224	0	36.29273453	311.768565	2.289306194	0	0.21593298	7.108470075	4.6032309	0.270098507	4.333132394	2.467812283	1.86532011	0	1.86532011	0.75	0	0	0
26	39.71	26.49	80	0.0519968	0.0788985	0.0294075	4.831342436	0	0	0.114762	0	37.17374024	295.4334895	2.168257436	0	0.16095294	6.687339697	4.358129321	0.270098507	4.088030815	2.467812283	1.620218531	0	1.620218531	0.95	0	0	0
27	38.65	52.99	80	0.036855	0.1263353	0.0503983	4.214016394	0	0	0.03906	0	37.59740276	284.0613399	2.032795531	0	0.25772391	6.386458873	4.095939431	0.270098507	3.825840925	2.467812283	1.358028642	0	1.358028642	0.95	0	0	0
28	39.28	52.99	80	0.0266303	0.1947968	0.1012848	3.147924971	0	0	0.020766	0	38.17451715	287.5134773	1.821908437	0	0.39738537	5.998345734	3.779051926	0.270098507	3.50895342	2.467812283	1.041141136	0	1.041141136	0.7	0	0	0
29	47.06	106.85	80	0.0221935	0.2245908	0.147802	2.681646799	0	0	0.0201	0	37.78707058	293.8539765	1.768482262	0	0.45816513	6.109602264	3.882954872	0.270098507	3.612856365	2.467812283	1.145044082	0	1.145044082	0.45	0	0	0
30	90.43	159.84	80	0.0184095	0.2370703	0.1586183	1.64620277	0	0	0.088374	0	36.85467624	301.1204888	1.543723869	0	0.48362331	6.527006961	4.499659781	0.270098507	4.229561275	2.467812283	1.761748991	0	1.761748991	0.4	0	0	0
